datetime,portfolio_value,cash,positions,return
2015-02-04 15:03:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:04:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:05:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:06:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:07:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:08:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:09:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:10:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:11:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:12:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:13:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:14:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:15:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:16:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:17:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:18:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:19:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:20:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:21:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:22:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:23:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:24:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:25:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:26:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
